scheme_name,category_type,min_age,max_age,max_annual_income,applicable_state,social_category,occupation,gender,description,benefits,apply_link,deadline,form_link
Free Diagnostics Initiative,Health,,,,All,All,All,All,Free diagnostic tests at public health facilities,Free essential diagnostic tests,https://www.myscheme.gov.in,,
Free Drug Service Initiative,Health,,,,All,All,All,All,Free essential medicines at public health facilities,Free generic medicines at government hospitals,https://www.myscheme.gov.in,,
"National Programme for Prevention and Control of Cancer, Diabetes, CVD and Stroke",Health,30.0,,,All,All,All,All,Screening and management of non-communicable diseases,Free screening for common lifestyle diseases,https://www.myscheme.gov.in,,
National Deworming Day Programme,Health,1.0,19.0,,All,All,Student,All,Deworming of children and adolescents,Free deworming tablets in schools and anganwadis,https://www.myscheme.gov.in,,
PM Divyangjan Sashaktikaran Yojana,Disability Welfare,,,,All,All,Disabled,All,Empowerment and welfare of persons with disabilities,"Skill training, aids and assistive devices",https://www.myscheme.gov.in,,
Unique Disability ID Scheme,Disability Welfare,,,,All,All,Disabled,All,Unique identification for persons with disabilities,Single window access to disability welfare schemes,https://www.myscheme.gov.in,,
Accessible India Campaign,Disability Welfare,,,,All,All,Disabled,All,Universal accessibility for persons with disabilities,Barrier-free infrastructure and transport,https://www.myscheme.gov.in,,
"National Trust Schemes for Persons with Autism, Cerebral Palsy",Disability Welfare,,,,All,All,Disabled,All,Welfare of persons with developmental disabilities,Financial assistance and rehabilitation support,https://www.myscheme.gov.in,,
PM Gramin Awaas Yojana Plus,Housing,18.0,,120000.0,All,All,BPL,All,Additional housing support for rural households,Top-up financial assistance for house construction,https://www.myscheme.gov.in,,
Sovereign Gold Bond Scheme,Financial Inclusion,18.0,,,All,All,All,All,Alternative to physical gold investment,Interest bearing gold-linked government securities,https://www.myscheme.gov.in,,
PM Vaya Vandana Yojana II,Social Welfare,60.0,,,All,All,Senior Citizen,All,Additional tranche of senior citizen pension scheme,Guaranteed pension for additional subscribers,https://www.licindia.in,,
National Means Test Disability Scholarship,Education,18.0,,250000.0,All,All,Disabled,All,Scholarship for disabled students from low income families,Tuition fee and maintenance allowance,https://www.myscheme.gov.in,,
Rashtriya Krishi Bima Yojana,Agriculture,18.0,,,All,All,Farmer,All,Comprehensive crop insurance scheme,Insurance coverage for pre-sowing to post-harvest losses,https://www.myscheme.gov.in,,
PM Kisan Urja Suraksha evam Utthan Mahabhiyan,Energy,18.0,,,All,All,Farmer,All,Energy security scheme for farmers,Solarization of agricultural pumps,https://www.myscheme.gov.in,,
National Rural Economic Transformation Project,Rural Development,18.0,,,All,All,BPL,All,Poverty reduction through livelihood diversification,Livelihood support and skill development,https://www.myscheme.gov.in,,
Startup India Initiative,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Ecosystem support for startups,Tax exemptions and easier compliance for startups,https://www.startupindia.gov.in,,
Make in India Initiative,Financial Inclusion,,,,All,All,Entrepreneur,All,Promotion of manufacturing sector,Ease of doing business reforms and incentives,https://www.myscheme.gov.in,,
Production Linked Incentive Scheme,Financial Inclusion,,,,All,All,Entrepreneur,All,Incentives for domestic manufacturing,Financial incentives linked to incremental production,https://www.myscheme.gov.in,,
National Livestock Insurance Scheme,Agriculture,18.0,,,All,All,Farmer,All,Insurance cover for livestock against death,Compensation for loss of livestock due to death,https://www.myscheme.gov.in,,
PM Awas Yojana Gramin Plus,Housing,18.0,,120000.0,All,All,BPL,All,Enhanced rural housing assistance scheme,Additional financial support for pucca house,https://www.myscheme.gov.in,,
Gopal Ratna and Kamdhenu Awards Scheme,Agriculture,18.0,,,All,All,Farmer,All,Recognition and incentive for progressive dairy farmers,Cash award and recognition for best dairy farmers,https://www.myscheme.gov.in,,
National Digital Health Mission,Health,,,,All,All,All,All,Digital health ecosystem for citizens,Digital health records and health ID,https://www.myscheme.gov.in,,
PM Suposhit Gram Panchayat Abhiyan,Health,,,,All,All,All,All,Nutrition improvement at gram panchayat level,Recognition and incentive for best performing panchayats,https://www.myscheme.gov.in,,
National Means-cum-Merit Scholarship for OBC Students,Education,13.0,16.0,150000.0,All,OBC,Student,All,Merit scholarship for OBC students in classes 9-12,Rs 12000 per year scholarship,https://scholarships.gov.in,,https://scholarships.gov.in
Central Sector Scholarship for Single Girl Child,Education,18.0,,,All,All,Student,Female,Scholarship for single girl child pursuing higher education,Monthly scholarship for two years post graduation,https://scholarships.gov.in,,https://scholarships.gov.in
Ishan Vikas Programme,Education,13.0,18.0,,All,All,Student,All,Exposure programme for NE students in premier institutes,Exposure visits and mentorship at IITs/IISc,https://www.myscheme.gov.in,,
PM Yasasvi Top Class Scholarship,Education,16.0,,800000.0,All,OBC/EBC/DNT,Student,All,Scholarship for OBC/EBC/DNT students in premier institutions,Full tuition and hostel fee coverage,https://scholarships.gov.in,,https://scholarships.gov.in
National Fellowship for OBC Students,Education,21.0,,,All,OBC,Student,All,Fellowship for OBC students pursuing M.Phil/PhD,Fellowship as per UGC norms,https://scholarships.gov.in,,https://scholarships.gov.in
Pre Matric Scholarship for Children of Sanitation Workers,Education,6.0,16.0,,All,All,Student,All,Scholarship for children of manual scavengers,Tuition fee reimbursement and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Post Matric Scholarship for Children of Sanitation Workers,Education,16.0,,,All,All,Student,All,Scholarship for higher education of sanitation workers' children,Tuition fee and maintenance allowance,https://scholarships.gov.in,,https://scholarships.gov.in
Free Coaching Scheme for SC/ST/OBC/Minority Students,Education,18.0,,800000.0,All,SC/ST/OBC/Minority,Student,All,Free coaching for competitive examinations,Free coaching and stipend for exam preparation,https://scholarships.gov.in,,https://scholarships.gov.in
PM Kisan Samman Nidhi Farmer Registration Camp,Agriculture,18.0,,,All,All,Farmer,All,Special enrollment drive for eligible farmers,Assistance in registration for income support scheme,https://pmkisan.gov.in,,
PM Suraksha Bima Yojana Extension Drive,Insurance,18.0,70.0,,All,All,All,All,Special renewal drive for accident insurance subscribers,Continuation of Rs 2 lakh accident cover,https://jansuraksha.gov.in,,
Goa Ladli Laxmi Yojana,Education/Savings,0.0,18.0,300000.0,Goa,All,All,Female,Financial support scheme for girl child education,Fixed deposit maturing at age 18,https://www.myscheme.gov.in,,
Goa Dayanand Social Security Scheme,Social Welfare,60.0,,,Goa,BPL,Senior Citizen,All,Old age and disability pension scheme,Monthly pension assistance,https://www.myscheme.gov.in,,
Goa Griha Aadhar Scheme,Social Welfare,18.0,,300000.0,Goa,All,All,Female,Financial assistance to women heads of households,Monthly cash assistance,https://www.myscheme.gov.in,,
Goa Laadli Behna Yojana,Social Welfare,21.0,60.0,300000.0,Goa,All,All,Female,Monthly financial assistance to women,Monthly cash assistance,https://www.myscheme.gov.in,,
Tripura Chief Minister Jubak Jubati Kormo Shongsthan Achoni,Employment,18.0,35.0,,Tripura,All,Unemployed Youth,All,Self-employment scheme for unemployed youth,Subsidized loans for self-employment ventures,https://www.myscheme.gov.in,,
Tripura Social Security Pension Scheme,Social Welfare,60.0,,,Tripura,BPL,Senior Citizen,All,Old age pension scheme for Tripura residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Tripura Amar Sarkar Scheme,Rural Development,,,,Tripura,All,All,All,Participatory local governance and development scheme,Community driven local development projects,https://www.myscheme.gov.in,,
Manipur Chief Minister's Hakshelgi Tengbang,Health,,,,Manipur,All,All,All,Health insurance scheme for Manipur residents,Cashless treatment up to Rs 2 lakh per family,https://www.myscheme.gov.in,,
Manipur Old Age Pension Scheme,Social Welfare,60.0,,,Manipur,BPL,Senior Citizen,All,Old age pension scheme for Manipur residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Meghalaya Chief Minister's Elevate Programme,Financial Inclusion,18.0,,,Meghalaya,All,Entrepreneur,All,Entrepreneurship promotion and startup funding scheme,Grants and mentorship for startups,https://www.myscheme.gov.in,,
Meghalaya Social Security Pension Scheme,Social Welfare,60.0,,,Meghalaya,BPL,Senior Citizen,All,Old age pension scheme for Meghalaya residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Mizoram New Land Use Policy Scheme,Agriculture,18.0,,,Mizoram,All,Farmer,All,Sustainable land use and livelihood scheme for farmers,Financial assistance for alternative farming practices,https://www.myscheme.gov.in,,
Mizoram Old Age Pension Scheme,Social Welfare,60.0,,,Mizoram,BPL,Senior Citizen,All,Old age pension scheme for Mizoram residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Nagaland Chief Minister's Rural Employment Generation Programme,Employment,18.0,,,Nagaland,All,Unemployed Youth,All,Self-employment scheme for rural youth,Subsidized loans for micro enterprises,https://www.myscheme.gov.in,,
Nagaland Old Age Pension Scheme,Social Welfare,60.0,,,Nagaland,BPL,Senior Citizen,All,Old age pension scheme for Nagaland residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Sikkim Chief Minister's Comprehensive Annual and New Development Initiative,Rural Development,,,,Sikkim,All,All,All,Comprehensive village development scheme,Infrastructure and livelihood development grants,https://www.myscheme.gov.in,,
Sikkim Old Age Pension Scheme,Social Welfare,60.0,,,Sikkim,BPL,Senior Citizen,All,Old age pension scheme for Sikkim residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Arunachal Pradesh Chief Minister's Adarsh Gram Yojana,Rural Development,,,,Arunachal Pradesh,All,All,All,Model village development scheme,Infrastructure development in identified villages,https://www.myscheme.gov.in,,
Arunachal Pradesh Old Age Pension Scheme,Social Welfare,60.0,,,Arunachal Pradesh,BPL,Senior Citizen,All,Old age pension scheme for Arunachal Pradesh residents,Monthly pension assistance,https://www.myscheme.gov.in,,
J&K Sehat Sahulat Scheme,Health,,,,Jammu and Kashmir,All,All,All,Universal health insurance scheme for residents,Cashless treatment up to Rs 5 lakh per family,https://www.myscheme.gov.in,,
J&K Reshi Scheme for Widow and Disabled Pension,Social Welfare,,,,Jammu and Kashmir,BPL,All,All,Pension for widows and persons with disability,Monthly pension assistance,https://www.myscheme.gov.in,,
J&K Himayat Scheme,Skill Development,15.0,35.0,,Jammu and Kashmir,All,Unemployed Youth,All,Skill development and placement for youth,Free skill training with guaranteed placement,https://www.myscheme.gov.in,,
Ladakh Old Age Pension Scheme,Social Welfare,60.0,,,Ladakh,BPL,Senior Citizen,All,Old age pension scheme for Ladakh residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Puducherry Chief Minister's Comprehensive Health Insurance Scheme,Health,,,,Puducherry,All,All,All,Health insurance scheme for Puducherry residents,Cashless treatment up to Rs 2 lakh per family,https://www.myscheme.gov.in,,
Puducherry Marriage Assistance Scheme,Social Welfare,18.0,,,Puducherry,BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Chandigarh Old Age Pension Scheme,Social Welfare,60.0,,,Chandigarh,BPL,Senior Citizen,All,Old age pension scheme for Chandigarh residents,Monthly pension assistance,https://www.myscheme.gov.in,,
UP Post Matric Scholarship (State),Education,16.0,,250000.0,Uttar Pradesh,SC/ST/OBC/Minority,Student,All,State scholarship for post matric education,Tuition fee and maintenance allowance,https://www.myscheme.gov.in,,
UP Pre Matric Scholarship (State),Education,6.0,16.0,250000.0,Uttar Pradesh,SC/ST/OBC/Minority,Student,All,State scholarship for pre matric education,Tuition fee and maintenance allowance,https://www.myscheme.gov.in,,
Bihar NMMS Scholarship,Education,13.0,16.0,150000.0,Bihar,All,Student,All,State-level merit scholarship for meritorious students,Annual scholarship amount,https://www.myscheme.gov.in,,
Dr Ambedkar Post Matric Scholarship (Maharashtra),Education,16.0,,250000.0,Maharashtra,SC,Student,All,State post matric scholarship for SC students,Tuition fee and maintenance allowance,https://www.myscheme.gov.in,,
Maharashtra Rajarshi Shahu Maharaj Merit Scholarship,Education,18.0,,,Maharashtra,All,Student,All,Merit scholarship for higher education students,Annual scholarship amount,https://www.myscheme.gov.in,,
Karnataka Vidyasiri Hostel Scheme,Education,18.0,,250000.0,Karnataka,SC/ST/OBC,Student,All,Free hostel facility for backward class college students,Free hostel accommodation with meals,https://www.myscheme.gov.in,,
Tamil Nadu Free Laptop Scheme,Education,15.0,,,Tamil Nadu,All,Student,All,Free laptop distribution for students in classes 11-12 and college,Free laptop for eligible students,https://www.myscheme.gov.in,,
Andhra Pradesh Jagananna Vidya Deevena,Education,18.0,,250000.0,Andhra Pradesh,All,Student,All,Full fee reimbursement for college students,Full tuition fee reimbursement,https://www.myscheme.gov.in,,
Andhra Pradesh Jagananna Vasathi Deevena,Education,18.0,,250000.0,Andhra Pradesh,All,Student,All,Financial assistance for hostel and mess expenses,Cash assistance for boarding and lodging,https://www.myscheme.gov.in,,
Telangana Post Matric Scholarship,Education,16.0,,,Telangana,SC/ST/BC/Minority,Student,All,State post matric scholarship for backward class students,Tuition fee and maintenance allowance,https://www.myscheme.gov.in,,
Gujarat Mukhyamantri Yuva Swavalamban Yojana,Education,18.0,,600000.0,Gujarat,All,Student,All,Financial assistance for higher education admission fee,Tuition fee assistance for professional courses,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Uchch Shiksha Chatravriti Yojana,Education,18.0,,,Rajasthan,All,Student,Female,Scholarship for girl students pursuing higher education,Annual scholarship amount,https://www.myscheme.gov.in,,
Madhya Pradesh Medhavi Vidyarthi Yojana,Education,18.0,,600000.0,Madhya Pradesh,All,Student,All,Fee reimbursement for meritorious students in professional courses,Full tuition fee reimbursement,https://www.myscheme.gov.in,,
Odisha Biju Yuva Sashaktikaran Yojana,Skill Development,18.0,35.0,,Odisha,All,Unemployed Youth,All,Skill training and self-employment scheme for youth,Free training and startup loans,https://www.myscheme.gov.in,,
Kerala Snehapoorvam Scheme,Child Welfare,0.0,18.0,,Kerala,All,All,All,Financial assistance for orphaned children's education,Monthly financial assistance,https://www.myscheme.gov.in,,
West Bengal Yuvashree Scheme,Employment,18.0,,,West Bengal,All,Unemployed Youth,All,Skill development and employment scheme for youth,Free skill training with monthly stipend,https://www.myscheme.gov.in,,
Punjab Mukhyamantri Yuva Rozgar Yojana,Employment,18.0,,,Punjab,All,Unemployed Youth,All,Self-employment and skill training scheme for youth,Subsidized loans and skill training,https://www.myscheme.gov.in,,
Haryana Mukhyamantri Vivah Shagun Yojana,Social Welfare,18.0,,,Haryana,SC/BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Assam Nijut Moina Scheme,Education,13.0,18.0,,Assam,All,Student,Female,Conditional cash transfer to keep girls in school,Annual scholarship for continuing education,https://www.myscheme.gov.in,,
Jharkhand Guruji Credit Card Yojana,Education,18.0,,,Jharkhand,All,Student,All,Education loan scheme for higher studies,Collateral free loan up to Rs 15 lakh,https://www.myscheme.gov.in,,
Chhattisgarh Mukhyamantri Kaushal Vikas Yojana,Skill Development,15.0,,,Chhattisgarh,All,Unemployed Youth,All,Skill training scheme for youth employment,Free skill training with placement assistance,https://www.myscheme.gov.in,,
Building and Other Construction Workers Welfare Scheme,Social Welfare,18.0,,,All,All,Construction Worker,All,Welfare fund for construction workers,"Financial assistance for health, education and accidents",https://www.myscheme.gov.in,,
Pradhan Mantri Shram Yogi Maandhan Extension,Social Welfare,18.0,40.0,,All,All,Unorganized Worker,All,Continued pension coverage for unorganized workers,Rs 3000 monthly pension after age 60,https://www.myscheme.gov.in,,
SMILE Scheme for Transgender Persons,Social Welfare,,,,All,All,All,All,Comprehensive rehabilitation for transgender persons,"Skill training, scholarships and shelter support",https://www.myscheme.gov.in,,
Garima Greh Scheme,Social Welfare,,,,All,All,All,All,Shelter homes for transgender persons,"Free shelter, food and healthcare facilities",https://www.myscheme.gov.in,,
National Disaster Response Fund Assistance,Disaster Relief,,,,All,All,All,All,Relief assistance during natural disasters,Financial assistance for disaster affected families,https://www.myscheme.gov.in,,
Aapda Mitra Scheme,Disaster Relief,18.0,,,All,All,Volunteer,All,Training community volunteers in disaster response,Training and stipend for disaster response volunteers,https://www.myscheme.gov.in,,
Rural Postal Life Insurance Scheme,Insurance,19.0,55.0,,All,All,Rural Resident,All,Life insurance scheme for rural residents,Low premium life insurance policies,https://www.indiapost.gov.in,,
Postal Life Insurance Scheme,Insurance,19.0,55.0,,All,All,Government Employee,All,Life insurance for government and semi-government employees,Life insurance at competitive premium rates,https://www.indiapost.gov.in,,
Sukanya Samriddhi Account Extension Scheme,Education/Savings,0.0,10.0,,All,All,All,Female,Extended enrollment drive for girl child savings account,High interest savings account with tax benefits,https://www.myscheme.gov.in,,
Public Provident Fund Scheme,Financial Inclusion,18.0,,,All,All,All,All,Long term savings scheme with tax benefits,Tax free interest and maturity amount,https://www.myscheme.gov.in,,
National Savings Certificate Scheme,Financial Inclusion,18.0,,,All,All,All,All,Fixed income savings instrument with tax benefits,Fixed interest rate with tax deduction under 80C,https://www.myscheme.gov.in,,
Kisan Vikas Patra Scheme,Financial Inclusion,18.0,,,All,All,Farmer,All,Savings scheme that doubles investment over fixed tenure,Guaranteed doubling of investment,https://www.myscheme.gov.in,,
Mahila Samman Savings Certificate,Financial Inclusion,18.0,,,All,All,All,Female,Small savings scheme for women,Fixed interest rate savings certificate for women,https://www.myscheme.gov.in,,
Senior Citizen Savings Scheme,Financial Inclusion,60.0,,,All,All,Senior Citizen,All,High interest savings scheme for senior citizens,Quarterly interest payout at attractive rates,https://www.myscheme.gov.in,,
National Culture Fund,Culture,,,,All,All,All,All,Preservation and promotion of cultural heritage,Grants for conservation of monuments and heritage sites,https://www.myscheme.gov.in,,
Scheme for Promotion of Culture of Science,Culture,,,,All,All,Student,All,Promotion of scientific temper among youth,Grants for science exhibitions and events,https://www.myscheme.gov.in,,
Rashtriya Kishor Swasthya Karyakram,Health,10.0,19.0,,All,All,Student,All,Adolescent health programme,Health counselling and services for adolescents,https://www.myscheme.gov.in,,
Adolescent Friendly Health Clinics Scheme,Health,10.0,19.0,,All,All,Student,All,Dedicated health clinics for adolescents,Confidential health services for adolescents,https://www.myscheme.gov.in,,
Nirbhaya Fund Scheme,Women Welfare,,,,All,All,All,Female,Fund for projects on women safety and security,Grants for women safety initiatives,https://www.myscheme.gov.in,,
Beti Bachao Beti Padhao Media Campaign,Social Welfare,,,,All,All,All,Female,Awareness campaign against female foeticide,Public awareness and advocacy programmes,https://www.myscheme.gov.in,,
PM Awas Yojana Credit Linked Subsidy for EWS,Housing,18.0,,300000.0,All,EWS,All,All,Housing loan subsidy for economically weaker sections,Interest subsidy of 6.5% on home loans,https://www.myscheme.gov.in,,
Affordable Housing Fund,Housing,18.0,,,All,All,All,All,Priority sector lending fund for affordable housing,Increased credit availability for affordable housing,https://www.myscheme.gov.in,,
PM Awas Yojana for Middle Income Group,Housing,18.0,,1800000.0,All,All,All,All,Housing subsidy for middle income households,Interest subsidy of 3-4% on home loans,https://www.myscheme.gov.in,,
National Handloom Development Programme,Financial Inclusion,18.0,,,All,All,Weaver,All,Support for handloom weavers,Financial assistance and marketing support for weavers,https://www.myscheme.gov.in,,
National Handicrafts Development Programme,Financial Inclusion,18.0,,,All,All,Artisan,All,Support for artisans and handicraft producers,Financial assistance and skill upgradation for artisans,https://www.myscheme.gov.in,,
Silk Samagra Scheme,Agriculture,18.0,,,All,All,Farmer,All,Development of sericulture sector,Support for silkworm rearing and silk production,https://www.myscheme.gov.in,,
Coir Vikas Yojana,Financial Inclusion,18.0,,,All,All,Artisan,All,Development of coir industry,Financial support for coir production units,https://www.myscheme.gov.in,,
Khadi Gramodyog Vikas Yojana,Financial Inclusion,18.0,,,All,All,Artisan,All,Promotion of khadi and village industries,Subsidy and marketing support for khadi units,https://www.myscheme.gov.in,,
Export Promotion Capital Goods Scheme,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Duty exemption for import of capital goods for exports,Zero duty import of capital goods for export production,https://www.myscheme.gov.in,,
Merchandise Exports from India Scheme,Financial Inclusion,18.0,,,All,All,Entrepreneur,All,Incentive for exporters of goods,Duty credit scrips for eligible exports,https://www.myscheme.gov.in,,
Rural Self Employment Training Institutes Scheme,Skill Development,18.0,45.0,,All,All,Unemployed Youth,All,Free residential skill training for rural youth,Free training with tool kit assistance,https://www.myscheme.gov.in,,
National Career Service for Persons with Disabilities,Employment,18.0,,,All,All,Disabled,All,Job matching services for persons with disabilities,Free job matching and career counselling,https://www.myscheme.gov.in,,
PM Kaushal Vikas Yojana 4.0,Skill Development,15.0,45.0,,All,All,Unemployed Youth,All,Fourth phase of national skill training programme,Free skill training with certification and placement,https://www.myscheme.gov.in,,
Jan Aushadhi Suvidha Sanitary Napkin Scheme,Health,,,,All,All,All,Female,Affordable sanitary napkins for women,Sanitary napkins at Re 1 per pad,https://www.myscheme.gov.in,,
Menstrual Hygiene Scheme,Health,10.0,19.0,,All,All,Student,Female,Promotion of menstrual hygiene among adolescent girls,Subsidized sanitary napkins in schools,https://www.myscheme.gov.in,,
National Rural Livelihood Mission Skill Component,Skill Development,18.0,,,All,All,BPL,All,Skill training component of rural livelihood mission,Free skill training for rural poor,https://www.myscheme.gov.in,,
PM Formalization Scheme for Farm Producer Organizations,Agriculture,18.0,,,All,All,Farmer,All,Formation and promotion of farmer producer organizations,Financial and handholding support for FPOs,https://www.myscheme.gov.in,,
Agriculture Marketing Infrastructure Scheme,Agriculture,18.0,,,All,All,Farmer,All,Development of agricultural marketing infrastructure,Subsidy for storage and market infrastructure,https://www.myscheme.gov.in,,
National Cooperative Development Corporation Schemes,Agriculture,18.0,,,All,All,Farmer,All,Support for cooperative sector development,Loans and grants for cooperative societies,https://www.myscheme.gov.in,,
PM Awas Yojana Gramin Convergence Scheme,Housing,18.0,,120000.0,All,All,BPL,All,Convergence of schemes with rural housing beneficiaries,Toilet and LPG connection along with housing,https://www.myscheme.gov.in,,
UP Mukhyamantri Kanya Vivah Anudan Yojana,Social Welfare,18.0,,200000.0,Uttar Pradesh,BPL,All,Female,Financial assistance for marriage of daughters from BPL families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
UP Samajwadi Awas Yojana,Housing,18.0,,,Uttar Pradesh,BPL,All,All,State housing scheme for below poverty line families,Financial assistance for house construction,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Kanya Suraksha Yojana,Social Welfare,0.0,,,Bihar,All,All,Female,One-time cash benefit at birth of girl child,One-time cash assistance at birth,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Vidyarthi Yojana,Education,18.0,,,Bihar,All,Student,All,Financial assistance for meritorious students,One-time cash incentive for board exam toppers,https://www.myscheme.gov.in,,
Maharashtra Shravanbal Nivrutti Vetan Yojana,Social Welfare,65.0,,,Maharashtra,BPL,Senior Citizen,All,Old age pension scheme for Maharashtra residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Maharashtra Rojgar Hami Yojana,Rural Development,18.0,,,Maharashtra,All,Laborer,All,State employment guarantee scheme,Guaranteed wage employment in rural areas,https://www.myscheme.gov.in,,
MP Mukhyamantri Bal Hriday Upchar Yojana,Health,0.0,18.0,,Madhya Pradesh,All,All,All,Free treatment for children with congenital heart disease,Free surgery and treatment for cardiac conditions,https://www.myscheme.gov.in,,
MP Mukhyamantri Yuva Udyami Yojana,Financial Inclusion,18.0,45.0,,Madhya Pradesh,All,Entrepreneur,All,Loan scheme for young entrepreneurs,Subsidized loans for setting up new enterprises,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Nishulk Dawa Yojana,Health,,,,Rajasthan,All,All,All,Free medicines at government health facilities,Free essential medicines,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Nishulk Jaanch Yojana,Health,,,,Rajasthan,All,All,All,Free diagnostic tests at government hospitals,Free essential diagnostic tests,https://www.myscheme.gov.in,,
West Bengal Khadya Sathi Scheme,Food Security,,,,West Bengal,BPL,All,All,Subsidized food grains distribution scheme,Rice and wheat at Rs 2 per kg,https://www.myscheme.gov.in,,
West Bengal Sikshashree Scheme,Education,6.0,16.0,,West Bengal,SC/ST,Student,All,Scholarship for SC/ST students in classes 5-8,Annual scholarship amount,https://scholarships.gov.in,,
Tamil Nadu Anaithu Grama Anna Marumalarchi Thittam,Rural Development,,,,Tamil Nadu,All,All,All,Comprehensive village development programme,Infrastructure development in all villages,https://www.myscheme.gov.in,,
Tamil Nadu Kalaignar Kanavu Illam,Housing,18.0,,,Tamil Nadu,BPL,All,All,Housing scheme for poor families,Financial assistance for house construction,https://www.myscheme.gov.in,,
Karnataka Annapurna Yojana,Food Security,65.0,,,Karnataka,BPL,Senior Citizen,All,Free food grains for elderly not covered under pension,10 kg free food grains per month,https://www.myscheme.gov.in,,
Karnataka Vajra Scheme,Social Welfare,18.0,,,Karnataka,SC/ST,All,All,Financial assistance scheme for SC/ST communities,Financial assistance for self employment,https://www.myscheme.gov.in,,
Andhra Pradesh Jagananna Chedodu,Financial Inclusion,18.0,,,Andhra Pradesh,All,Small Trader,All,Financial assistance to small traders and washermen,Annual financial assistance,https://www.myscheme.gov.in,,
Telangana Aasara Widow Pension Scheme,Social Welfare,18.0,,,Telangana,BPL,All,Female,Pension scheme for widows in Telangana,Monthly pension assistance,https://www.myscheme.gov.in,,
Gujarat Vhali Dikri Scheme Extension,Education/Savings,0.0,18.0,600000.0,Gujarat,All,All,Female,Extended enrollment window for girl child savings scheme,Cash assistance in installments till age 18,https://www.myscheme.gov.in,,
Punjab Kanya Sumangal Yojana,Education/Savings,0.0,18.0,,Punjab,All,All,Female,Financial support scheme for girl child education,Cash assistance in installments till age 18,https://www.myscheme.gov.in,,
Haryana Beti Bachao Beti Padhao State Scheme,Education,0.0,18.0,,Haryana,All,All,Female,State-level implementation of girl child welfare scheme,Awareness campaigns and welfare initiatives,https://www.myscheme.gov.in,,
Odisha Ama Ghare LED Scheme,Energy,,,,Odisha,BPL,All,All,Free LED bulb distribution to BPL households,Free LED bulbs for energy savings,https://www.myscheme.gov.in,,
Kerala Pension for Agricultural Workers,Social Welfare,60.0,,,Kerala,All,Farmer,All,Pension scheme for agricultural laborers,Monthly pension assistance,https://www.myscheme.gov.in,,
Assam Swanirbhar Naari Scheme,Financial Inclusion,18.0,,,Assam,All,Women,Female,Support for women self-help groups,Interest-free loans and skill training for SHGs,https://www.myscheme.gov.in,,
Jharkhand Mukhyamantri Kanyadan Yojana,Social Welfare,18.0,,,Jharkhand,BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Chhattisgarh Mukhyamantri Amrit Sanjeevani Yojana,Health,,,,Chhattisgarh,All,All,All,Free medicines at village health centers,Free essential medicines at health and wellness centers,https://www.myscheme.gov.in,,
Delhi Mukhyamantri Tirth Yatra Yojana,Social Welfare,60.0,,,Delhi,All,Senior Citizen,All,Free pilgrimage tour for senior citizens,Free travel and accommodation for pilgrimage,https://www.myscheme.gov.in,,
Himachal Pradesh Vidhwa Punarvivah Protsahan Yojana,Social Welfare,18.0,,,Himachal Pradesh,All,All,Female,Incentive scheme for remarriage of widows,One-time financial incentive for widow remarriage,https://www.myscheme.gov.in,,
Uttarakhand Mukhyamantri Swarojgar Yojana,Financial Inclusion,18.0,45.0,,Uttarakhand,All,Entrepreneur,All,Self-employment loan scheme for youth,Subsidized loans for setting up small enterprises,https://www.myscheme.gov.in,,
National Means-cum-Merit Scholarship for ST Students,Education,13.0,16.0,150000.0,All,ST,Student,All,Merit scholarship for ST students in classes 9-12,Rs 12000 per year scholarship,https://scholarships.gov.in,,https://scholarships.gov.in
National Fellowship for Minority Students,Education,21.0,,,All,Minority,Student,All,Fellowship for minority students pursuing M.Phil/PhD,Fellowship as per UGC norms,https://scholarships.gov.in,,https://scholarships.gov.in
Free Coaching Scheme for Minority Students,Education,18.0,,600000.0,All,Minority,Student,All,Free coaching for competitive examinations for minorities,Free coaching and stipend,https://scholarships.gov.in,,https://scholarships.gov.in
Padho Pardesh Scheme,Education,18.0,,600000.0,All,Minority,Student,All,Interest subsidy on education loans for overseas studies,Interest subsidy during study period,https://www.myscheme.gov.in,,
